hotel_id,name,hotel_link,stars,rating,reviews,address,intro,price,room_type,province
70,Khách sạn Sunline Hà Nội,https://www.ivivu.com/khach-san-ha-noi/sunline-hotel,4.0,0.0,,"18 Ngõ Bảo Khánh, Hàng Trống","Quận Hoàn Kiếm, sunline, sunline hà nội, tiện nghi, trung tâm, hà nội",2.150.000,Executive Double or Twin Room,ha-noi
71,Khách sạn Hôtel du Parc Hà Nội,https://www.ivivu.com/khach-san-ha-noi/hotel-du-parc-hanoi,5.0,8.0,,84 Trần Nhân Tông,"Quận Hai Bà Trưng, Gần hồ Thiền Quang, Gần rạp xiếc trung ương, Gần ga Hà Nội",4.730.000,Room Assigned on Arrival,ha-noi
72,Khách sạn Hà Nội Starlight,https://www.ivivu.com/khach-san-ha-noi/hanoi-blue-sky-hotel-2,2.0,83.0,,"34 Hàng Gà, Hoàn Kiếm","Quận Hoàn Kiếm, gần Phố Tạ Hiện",761.000,Standard Double,ha-noi
73,Khách sạn Especen Hà Nội,https://www.ivivu.com/khach-san-ha-noi/especen-hotel,2.0,1.0,,"28 Thọ Xương, Hàng Trống","Quận Hoàn Kiếm, Cách Phố cổ 10 phút đi bộ, Cho thuê xe, Phòng có điều hòa",471.500,Twin Bed Room,ha-noi
74,Oriental Suites Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-oriental-suites-hotel-spa-ha-noi,3.0,13.0,,"58 Hàng Đào, quận Hoàn Kiếm","Quận Hoàn Kiếm, Trung tâm thành phố Hà Nội, Khu Phố Cổ, Dịch vụ tour",1.343.000,Superior Double,ha-noi
75,Khách sạn SQ Hàng Gai Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-sq-hang-gai-ha-noi,4.0,3.0,,"100 P. Hàng Gai, quận Hoàn Kiếm","Gần Phố Cổ & Hồ Gươm, Quận Hoàn Kiếm, Gần Phố Cổ, Gần Hồ Gươm",1.898.000,Deluxe Inner View Room,ha-noi
76,Khách sạn A25 Phương Liệt Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-a25-63a-phuong-liet,3.0,0.0,,"63A Phương Liệt, Thanh Xuân","Quận Thanh Xuân, +1, ",924.000,Standard,ha-noi
77,Khu nghỉ dưỡng Amour Ba Vì Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khu-nghi-duong-amour-ba-vi-ha-noi,4.0,4.0,,"Cote 400m, Vườn Quốc Gia Ba Vì","Gần Vườn quốc gia Ba Vì, Vườn quốc gia, Mới khai trương",2.892.500,Superior Double,ha-noi
78,Khu căn hộ Daeha Hà Nội,https://www.ivivu.com/khach-san-ha-noi/daeha-ha-noi,5.0,0.0,,"360 Kim Mã, quận Ba Đình","Quận Ba Đình, Hồ bơi ngoài trời, Dịch vụ spa, Bãi đậu xe miễn phí, +1, ",1.836.000,2-Bedroom Apartment,ha-noi
79,Hanoi Solo Hotel,https://www.ivivu.com/khach-san-ha-noi/khach-san-maison-d-hanoi-boutique,3.0,10.0,,"35-37 Mã Mây, Quận Hoàn Kiếm","Trung tâm thành phố, Khu Phố cổ, thiết kế sang trọng",664.000,Deluxe Double Room,ha-noi
